Municipality_ID,Date,Value,Dimension_ID,Indicator_ID,Dimension_Count,Indicator_Count
Alcobaça,2020,11.6,1,1,5,4
Alenquer,2020,14.3,1,1,5,4
Arruda dos Vinhos,2020,14.5,1,1,5,4
Bombarral,2020,9.4,1,1,5,4
Cadaval,2020,11.7,1,1,5,4
Caldas da Rainha,2020,14.1,1,1,5,4
Lourinhã,2020,14.1,1,1,5,4
Nazaré,2020,13.2,1,1,5,4
Óbidos,2020,12.5,1,1,5,4
Peniche,2020,13.7,1,1,5,4
Sobral de Monte Agraço,2020,14.6,1,1,5,4
Torres Vedras,2020,13.8,1,1,5,4
Alcobaça,2020,3.8,1,2,5,4
Alenquer,2020,5.1,1,2,5,4
Arruda dos Vinhos,2020,3.1,1,2,5,4
Bombarral,2020,4.1,1,2,5,4
Cadaval,2020,4.3,1,2,5,4
Caldas da Rainha,2020,4.7,1,2,5,4
Lourinhã,2020,4.3,1,2,5,4
Nazaré,2020,5.4,1,2,5,4
Óbidos,2020,3.7,1,2,5,4
Peniche,2020,5.4,1,2,5,4
Sobral de Monte Agraço,2020,3.1,1,2,5,4
Torres Vedras,2020,4.5,1,2,5,4
Alcobaça,2020,6,1,3,5,3
Alenquer,2020,6,1,3,5,3
Arruda dos Vinhos,2020,3,1,3,5,3
Bombarral,2020,2,1,3,5,3
Cadaval,2020,0,1,3,5,3
Caldas da Rainha,2020,15,1,3,5,3
Lourinhã,2020,7,1,3,5,3
Nazaré,2020,2,1,3,5,3
Óbidos,2020,5,1,3,5,3
Peniche,2020,2,1,3,5,3
Sobral de Monte Agraço,2020,2,1,3,5,3
Torres Vedras,2020,22,1,3,5,3
Alcobaça,2020,0.4,1,4,5,3
Alenquer,2020,0.4,1,4,5,3
Arruda dos Vinhos,2020,0.2,1,4,5,3
Bombarral,2020,0.1,1,4,5,3
Cadaval,2020,0.1,1,4,5,3
Caldas da Rainha,2020,0.5,1,4,5,3
Lourinhã,2020,0.2,1,4,5,3
Nazaré,2020,0.1,1,4,5,3
Óbidos,2020,0.1,1,4,5,3
Peniche,2020,0.2,1,4,5,3
Sobral de Monte Agraço,2020,0.1,1,4,5,3
Torres Vedras,2020,0.8,1,4,5,3
Alcobaça,2020,100,2,5,5,3
Alenquer,2020,100,2,5,5,3
Arruda dos Vinhos,2020,100,2,5,5,3
Bombarral,2020,99,2,5,5,3
Cadaval,2020,100,2,5,5,3
Caldas da Rainha,2020,100,2,5,5,3
Lourinhã,2020,100,2,5,5,3
Nazaré,2020,100,2,5,5,3
Óbidos,2020,98,2,5,5,3
Peniche,2020,97,2,5,5,3
Sobral de Monte Agraço,2020,100,2,5,5,3
Torres Vedras,2020,99,2,5,5,3
Alcobaça,2020,0.695,2,6,5,3
Alenquer,2020,0.715,2,6,5,3
Arruda dos Vinhos,2020,0.384,2,6,5,3
Bombarral,2020,0.423,2,6,5,3
Cadaval,2020,0.233,2,6,5,3
Caldas da Rainha,2020,0.88,2,6,5,3
Lourinhã,2020,0.449,2,6,5,3
Nazaré,2020,0.41,2,6,5,3
Óbidos,2020,0.471,2,6,5,3
Peniche,2020,0.365,2,6,5,3
Sobral de Monte Agraço,2020,0.307,2,6,5,3
Torres Vedras,2020,0.651,2,6,5,3
Alcobaça,2020,0.013,2,7,5,3
Alenquer,2020,0.011,2,7,5,3
Arruda dos Vinhos,2020,0.01,2,7,5,3
Bombarral,2020,0.018,2,7,5,3
Cadaval,2020,0.014,2,7,5,3
Caldas da Rainha,2020,0.011,2,7,5,3
Lourinhã,2020,0.014,2,7,5,3
Nazaré,2020,0.031,2,7,5,3
Óbidos,2020,0.011,2,7,5,3
Peniche,2020,0.014,2,7,5,3
Sobral de Monte Agraço,2020,0.014,2,7,5,3
Torres Vedras,2020,0.011,2,7,5,3
Alcobaça,2020,11.5,2,8,5,2
Alenquer,2020,-74.9,2,8,5,2
Arruda dos Vinhos,2020,-69.1,2,8,5,2
Bombarral,2020,-73.7,2,8,5,2
Cadaval,2020,-69.5,2,8,5,2
Caldas da Rainha,2020,-22.1,2,8,5,2
Lourinhã,2020,-63.7,2,8,5,2
Nazaré,2020,11.8,2,8,5,2
Óbidos,2020,-11.1,2,8,5,2
Peniche,2020,-65.7,2,8,5,2
Sobral de Monte Agraço,2020,-69.6,2,8,5,2
Torres Vedras,2020,-73.4,2,8,5,2
Alcobaça,2020,27,3,9,4,4
Alenquer,2020,34,3,9,4,4
Arruda dos Vinhos,2020,46,3,9,4,4
Bombarral,2020,33,3,9,4,4
